setting,m,k,g,n_prompts,error_mean,error_std,bound_mean,bound_std
input_only,1,1,0,400,0.15485500668792246,0.25574819793037673,8.64890440310485,2.192715435081675
input_only,1,2,0,400,0.1518107614747177,0.25514462777865665,11.817470352125188,1.9093199795647517
input_only,1,4,0,400,0.18785002888293534,0.3234182367515449,12.990462571619089,1.4179020381191365
input_only,1,8,0,400,0.2228247635350008,0.3677330426256694,13.775638005007094,1.4427738229980258
input_only,2,1,0,400,0.3381473596522625,0.5247246369465949,12.707512163736032,1.8992821647600169
input_only,2,2,0,400,0.4808417932207365,0.625271425265618,13.9035022956158,1.58430728979117
input_only,2,4,0,400,0.5713936728917491,0.6990040458538543,14.713799715931229,1.3296746782878786
input_only,2,8,0,400,0.6716856076978034,0.7495234345485805,15.362062879361382,1.2881323450172155
input_only,4,1,0,400,0.4846310184989383,0.558779155073001,14.793912597732744,1.4801088752663336
input_only,4,2,0,400,0.6230502256097301,0.654188825379249,15.341217432012353,1.3884130248991704
input_only,4,4,0,400,0.688459940907849,0.7058868135568847,15.938419181835792,1.421663471360105
input_only,4,8,0,400,0.7753440407917654,0.7723255892454608,16.302875165661163,1.4077865761210515
input_only,8,1,0,400,0.6211846369893815,0.5413094633357196,15.923038263517515,1.6338989477281003
input_only,8,2,0,400,0.7520744219542739,0.6474626322487358,16.588179071021457,1.5736676293958456
input_only,8,4,0,400,0.8848660146423035,0.6914015789282631,16.911909206399486,1.5899251660748435
input_only,8,8,0,400,1.0590990318028708,0.7141153033784537,17.164102491746643,1.6282606883784816
input_and_generated,4,4,0,400,0.688459940907849,0.7058868135568847,15.938419181835792,1.421663471360105
input_and_generated,4,4,1,400,0.9694420849184362,0.9453754341358644,16.380105660307027,1.3747059696165884
input_and_generated,4,4,4,400,1.1141495116779097,0.9764068527935105,17.715968182901225,1.4403676793578761
input_and_generated,4,4,8,400,1.2972184612228717,1.018826622572719,19.076105373787094,1.8044479806591571
input_and_generated,4,4,16,400,1.8571326432790913,1.1405693889038615,20.86457860510078,2.2390636124962398
