layer,figure,m,k,g,n,error_mean,error_std,bound_mean,bound_std
3,prompt,1,1,0,400,0.0006573801448703087,0.00039038149706082894,0.06200569019649931,0.03609278965258685
3,prompt,2,1,0,400,0.0012413522750519491,0.0007212994864125747,0.09742012270549821,0.05634392754818556
3,prompt,4,1,0,400,0.0023064841393190738,0.0013228241314859862,0.14308176980114187,0.08202907720919032
3,prompt,8,1,0,400,0.004240901264462239,0.0024377660889890345,0.1958443492958174,0.1117746018028455
3,prompt,16,1,0,400,0.007288909521476115,0.004226902318428435,0.25195071759530246,0.14379371272726033
3,prompt,32,1,0,400,0.011480629863682477,0.0068233102144660265,0.30901858535774795,0.17755714332547545
3,prompt,64,1,0,400,0.01853039765456404,0.010659583325463773,0.36906100815612936,0.21191475982111013
3,prompt,128,1,0,400,0.026327629779836534,0.015106837351152586,0.4298225146819796,0.23183642657726874
3,steering,4,1,0,95,0.0011148389394278673,0.0006788545314496986,0.16970385120952433,0.09984323595384348
3,steering,4,2,0,95,0.000966083719041051,0.0006290667924448917,0.12097252412978989,0.06891997379319088
3,steering,4,4,0,95,0.0009411188759023894,0.0006530547885594912,0.08119116151107451,0.044243086238832885
3,steering,4,4,4,95,0.007206033524709718,0.0024430039280719934,0.22547157058488168,0.04612738139002576
3,steering,4,4,12,95,0.01902038945860315,0.00643756246201362,0.3267062815595866,0.048220844125737426
3,steering,4,4,28,95,0.0417475809856778,0.013891312850964163,0.40388259816303196,0.05048572704512509
3,steering,4,4,60,95,0.0826815464880444,0.025612798742057966,0.47926795672371675,0.05560570479631219
3,steering,4,4,124,95,0.15256859981860235,0.04300421030923306,0.5713518158352744,0.06638957710595303
3,steering,4,8,0,95,0.000881417704139499,0.0006489443040597706,0.05477258100331516,0.026267938962117227
3,steering,4,16,0,95,0.0005847700236708337,0.00044747585525428094,0.038516129309134825,0.015174703554809935
3,steering,4,32,0,95,0.0003654616774070566,0.00027955839314176253,0.029704124771627167,0.009015796290786665
3,steering,4,64,0,95,0.00022549912918664916,0.00017128054015261518,0.026057227089916667,0.0061694332334215965
3,steering,4,128,0,95,0.00016805365144299464,0.00015493718815384373,0.0245976780534416,0.0051454860460405216
9,prompt,1,1,0,400,0.004345524993460457,0.0017259490334880906,0.657247624873349,0.24435257739828886
