m,input_steered,generated_steered,n,common_query_error_mean,common_query_error_std,all_query_error_mean,exposed_query_error_mean,linear_dimension_mean,reference_error_mean
1,1,0,100,0.04202959772930572,0.07602711858264533,0.04740775070489825,0.11119813701661492,126.0,9.200307726949291e-05
2,1,0,100,0.06073364968236044,0.059450505170154884,0.06308320563225585,0.14236588496351443,125.0,0.0006376924961001299
4,1,0,100,0.12439893864800268,0.35569189011388586,0.13759950926986186,0.2814763610799226,123.0,0.0020796638100791785
4,1,1,100,0.08024340659638732,0.06420994238161822,0.10205409808320168,0.22847075655702753,122.0,0.0009045316369826907
4,1,3,100,0.07703965174749192,0.07742606987515464,0.09791381012459874,0.22475918063118897,120.0,0.0004736144850299724
4,1,7,100,0.0835230719856187,0.12284476385588101,0.10300394540516651,0.24586671189213483,116.0,1.2611277364961713e-06
4,1,15,100,0.07983479394732432,0.06840561386059474,0.07946856689061339,0.19310491499720636,108.0,1.2521816155566478e-06
4,1,31,100,0.08463681875573481,0.10552814951357001,0.0674394222894922,0.16911501496125736,92.0,1.125670122140671e-06
4,1,63,100,0.0878659573443795,0.1335062125610966,0.04899889458765274,0.133950400576405,60.0,0.0003933593657600286
4,1,127,100,0.09922532232186304,0.07565377956715905,0.029079720797288256,0.09922532232186304,0.0,5.89342097431087e-07
4,2,0,100,0.08595027699083431,0.08089346562908256,0.10516363115484045,0.2149199179457861,122.0,0.00021157200606466343
4,4,0,100,0.09165212740050949,0.1218179813667702,0.0902672539035258,0.19660108347064434,120.0,0.001944098962237736
4,8,0,100,0.07631632789903527,0.05822623387262588,0.07248774112658854,0.1579514037386046,116.0,0.00010090440670692326
4,16,0,100,0.07443439445782753,0.051829036608930804,0.07071134502589034,0.1568504263415002,108.0,6.376683605146867e-07
4,32,0,100,0.0679478284531152,0.03651766092520063,0.062294484766923425,0.1311831537151435,92.0,6.110154036973456e-07
4,64,0,100,0.06962781482297375,0.04781943990627213,0.06489761596900895,0.12757378841483477,60.0,5.906579614837316e-07
4,128,0,100,0.07537916857361145,0.07384206370597281,0.07677611060369673,0.1297898920240329,0.0,6.34713677219749e-07
8,1,0,100,0.10079589155738733,0.10105757647770487,0.10169524964237311,0.22401171054286328,119.0,0.0004969909626118663
16,1,0,100,0.12656303518724277,0.09387067587849024,0.11450315686684613,0.2516715086482325,111.0,0.0013198269929742626
32,1,0,100,0.17904432694622108,0.19310685588394585,0.15798403609223358,0.3590889273163556,95.0,0.002836299555577264
64,1,0,100,0.20198454911568778,0.3131820010102794,0.1969159414051588,0.40971988059945663,63.0,0.0018358774620158946
128,1,0,100,0.20646863758824632,0.1523787616643153,0.19486496590869584,0.41574292981167393,0.0,0.0009624235321212632
